Model,Pipeline,Representation,Accuracy,Precision,Recall,F1-Score,Inference_Time_Seconds,Average_Inference_Time_Per_Sample
LogisticRegression,pipeline_0,BagOfWords,0.8864,0.8785266457680251,0.8968,0.88756927949327,0.0009992122650146,3.996849060058594e-07
NaiveBayes,pipeline_0,BagOfWords,0.8368,0.858603066439523,0.8064,0.8316831683168316,0.0009999275207519,3.999710083007813e-07
LogisticRegression,pipeline_1,BagOfWords,0.8752,0.8658346333853354,0.888,0.8767772511848341,0.0010333061218261,4.133224487304688e-07
NaiveBayes,pipeline_1,BagOfWords,0.8468,0.8573784006595219,0.832,0.8444985789687373,0.0009975433349609,3.99017333984375e-07
LogisticRegression,pipeline_2,BagOfWords,0.8752,0.8658346333853354,0.888,0.8767772511848341,0.0011630058288574,4.652023315429688e-07
NaiveBayes,pipeline_2,BagOfWords,0.8468,0.8573784006595219,0.832,0.8444985789687373,0.0010006427764892,4.002571105957033e-07
LogisticRegression,pipeline_3,BagOfWords,0.8752,0.8658346333853354,0.888,0.8767772511848341,0.0010008811950683,4.003524780273438e-07
NaiveBayes,pipeline_3,BagOfWords,0.8468,0.8573784006595219,0.832,0.8444985789687373,0.0015044212341308,6.017684936523438e-07
LogisticRegression,pipeline_2,BagOfWords,0.8752,0.8658346333853354,0.888,0.8767772511848341,0.0,0.0
NaiveBayes,pipeline_2,BagOfWords,0.8468,0.8573784006595219,0.832,0.8444985789687373,0.001505136489868164,6.020545959472656e-07
