Model,Pipeline,Representation,Accuracy,Precision,Recall,F1-Score,Inference_Time_Seconds,Average_Inference_Time_Per_Sample,representation,Representation_Label,Config
LogisticRegression,pipeline_0,BagOfWords,0.8864,0.878526645768025,0.8968,0.88756927949327,0.0009992122650146,3.99684906005859E-07,Bag_of_Words,Bag_of_Words,"Bag_of_Words
LogisticRegression"
NaiveBayes,pipeline_0,BagOfWords,0.8368,0.858603066439523,0.8064,0.831683168316832,0.0009999275207519,3.99971008300781E-07,Bag_of_Words,Bag_of_Words,"Bag_of_Words
NaiveBayes"
LogisticRegression,pipeline_1,BagOfWords,0.8752,0.865834633385335,0.888,0.876777251184834,0.0010333061218261,4.13322448730469E-07,Bag_of_Words,Bag_of_Words,"Bag_of_Words
LogisticRegression"
NaiveBayes,pipeline_1,BagOfWords,0.8468,0.857378400659522,0.832,0.844498578968737,0.0009975433349609,3.99017333984375E-07,Bag_of_Words,Bag_of_Words,"Bag_of_Words
NaiveBayes"
LogisticRegression,pipeline_2,BagOfWords,0.8752,0.865834633385335,0.888,0.876777251184834,0.0011630058288574,4.65202331542969E-07,Bag_of_Words,Bag_of_Words,"Bag_of_Words
LogisticRegression"
NaiveBayes,pipeline_2,BagOfWords,0.8468,0.857378400659522,0.832,0.844498578968737,0.0010006427764892,4.00257110595703E-07,Bag_of_Words,Bag_of_Words,"Bag_of_Words
NaiveBayes"
LogisticRegression,pipeline_3,BagOfWords,0.8752,0.865834633385335,0.888,0.876777251184834,0.0010008811950683,4.00352478027344E-07,Bag_of_Words,Bag_of_Words,"Bag_of_Words
LogisticRegression"
NaiveBayes,pipeline_3,BagOfWords,0.8468,0.857378400659522,0.832,0.844498578968737,0.0015044212341308,6.01768493652344E-07,Bag_of_Words,Bag_of_Words,"Bag_of_Words
NaiveBayes"
LogisticRegression,pipeline_2,BagOfWords,0.8752,0.865834633385335,0.888,0.876777251184834,0,0,Bag_of_Words,Bag_of_Words,"Bag_of_Words
LogisticRegression"
NaiveBayes,pipeline_2,BagOfWords,0.8468,0.857378400659522,0.832,0.844498578968737,0.0015051364898681,6.02054595947266E-07,Bag_of_Words,Bag_of_Words,"Bag_of_Words
NaiveBayes"
LogisticRegression,pipeline_0,TF-IDF,0.89,0.874136607828089,0.9112,0.892283587935762,0.001009464263916,4.03785705566406E-07,TF_IDF,TF_IDF,"TF_IDF
LogisticRegression"
NaiveBayes,pipeline_0,TF-IDF,0.858,0.867104183757178,0.8456,0.856217091940057,0.0010075569152832,4.03022766113281E-07,TF_IDF,TF_IDF,"TF_IDF
NaiveBayes"
LogisticRegression,pipeline_1,TF-IDF,0.892,0.872907153729072,0.9176,0.894695787831513,0.0015058517456054,6.02340698242188E-07,TF_IDF,TF_IDF,"TF_IDF
LogisticRegression"
NaiveBayes,pipeline_1,TF-IDF,0.8548,0.856224899598394,0.8528,0.854509018036072,0.0009987354278564,3.99494171142578E-07,TF_IDF,TF_IDF,"TF_IDF
NaiveBayes"
LogisticRegression,pipeline_2,TF-IDF,0.892,0.872907153729072,0.9176,0.894695787831513,0.0009987354278564,3.99494171142578E-07,TF_IDF,TF_IDF,"TF_IDF
LogisticRegression"
NaiveBayes,pipeline_2,TF-IDF,0.8548,0.856224899598394,0.8528,0.854509018036072,0.0009987354278564,3.99494171142578E-07,TF_IDF,TF_IDF,"TF_IDF
NaiveBayes"
LogisticRegression,pipeline_3,TF-IDF,0.892,0.872907153729072,0.9176,0.894695787831513,0,0,TF_IDF,TF_IDF,"TF_IDF
LogisticRegression"
NaiveBayes,pipeline_3,TF-IDF,0.8548,0.856224899598394,0.8528,0.854509018036072,0.0009994506835937,3.997802734375E-07,TF_IDF,TF_IDF,"TF_IDF
NaiveBayes"
LogisticRegression,pipeline_0,Word2Vec,0.83,0.824547600314713,0.8384,0.831416104720349,0.0023145675659179,9.25827026367188E-07,Word2Vec,Word2Vec,"Word2Vec
LogisticRegression"
SVM,pipeline_0,Word2Vec,0.8388,0.832678711704635,0.848,0.840269520412208,0.0025978088378906,1.03912353515625E-06,Word2Vec,Word2Vec,"Word2Vec
SVM"
LogisticRegression,pipeline_1,Word2Vec,0.842,0.83011583011583,0.86,0.844793713163065,0.0040016174316406,1.60064697265625E-06,Word2Vec,Word2Vec,"Word2Vec
LogisticRegression"
SVM,pipeline_1,Word2Vec,0.852,0.838461538461539,0.872,0.854901960784314,0.0025186538696289,1.00746154785156E-06,Word2Vec,Word2Vec,"Word2Vec
SVM"
LogisticRegression,pipeline_2,Word2Vec,0.848,0.837209302325581,0.864,0.850393700787402,0.0035271644592285,1.41086578369141E-06,Word2Vec,Word2Vec,"Word2Vec
LogisticRegression"
SVM,pipeline_2,Word2Vec,0.8568,0.842549923195085,0.8776,0.859717868338558,0.0029995441436767,1.1998176574707E-06,Word2Vec,Word2Vec,"Word2Vec
SVM"
LogisticRegression,pipeline_3,Word2Vec,0.8492,0.838109992254067,0.8656,0.851633215269579,0.0020012855529785,8.00514221191406E-07,Word2Vec,Word2Vec,"Word2Vec
LogisticRegression"
SVM,pipeline_3,Word2Vec,0.858,0.846094354215004,0.8752,0.860401101061738,0.0020046234130859,8.01849365234375E-07,Word2Vec,Word2Vec,"Word2Vec
SVM"
LogisticRegression,pipeline_1,BERT_CLS_Frozen,0.8128,0.816855753646678,0.8064,0.811594202898551,0.0079987049102783,3.19948196411133E-06,BERT,BERT_CLS_Frozen,"BERT_CLS_Frozen
LogisticRegression"
SVM,pipeline_1,BERT_CLS_Frozen,0.8148,0.817594834543987,0.8104,0.813981518682202,0.0066919326782226,2.67677307128906E-06,BERT,BERT_CLS_Frozen,"BERT_CLS_Frozen
SVM"
LogisticRegression,pipeline_1,BERT_Mean_Frozen,0.8468,0.845969672785315,0.848,0.846983619656412,0.0069937705993652,2.79750823974609E-06,BERT,BERT_Mean_Frozen,"BERT_Mean_Frozen
LogisticRegression"
SVM,pipeline_1,BERT_Mean_Frozen,0.8404,0.837966640190628,0.844,0.840972499003587,0.0070033073425292,2.80132293701172E-06,BERT,BERT_Mean_Frozen,"BERT_Mean_Frozen
SVM"
BERT_Finetuned,pipeline_1,BERT_Finetuned,0.9164,0.905058365758755,0.9304,0.917554240631164,26.1380972862244,0.0104552389144897,BERT,BERT_FineTuned,"BERT_FineTuned
BERT_Finetuned"
LogisticRegression,pipeline_2,BERT_CLS_Frozen,0.8128,0.816855753646678,0.8064,0.811594202898551,0.0192101001739501,7.68404006958008E-06,BERT,BERT_CLS_Frozen,"BERT_CLS_Frozen
LogisticRegression"
SVM,pipeline_2,BERT_CLS_Frozen,0.8148,0.817594834543987,0.8104,0.813981518682202,0.0135235786437988,5.40943145751953E-06,BERT,BERT_CLS_Frozen,"BERT_CLS_Frozen
SVM"
LogisticRegression,pipeline_2,BERT_Mean_Frozen,0.8468,0.845969672785315,0.848,0.846983619656412,0.0107138156890869,4.28552627563477E-06,BERT,BERT_Mean_Frozen,"BERT_Mean_Frozen
LogisticRegression"
SVM,pipeline_2,BERT_Mean_Frozen,0.8404,0.837966640190628,0.844,0.840972499003587,0.0109286308288574,4.37145233154297E-06,BERT,BERT_Mean_Frozen,"BERT_Mean_Frozen
SVM"
BERT_Finetuned,pipeline_2,BERT_Finetuned,0.9156,0.907450980392157,0.9256,0.916435643564356,25.1403551101685,0.0100561420440673,BERT,BERT_FineTuned,"BERT_FineTuned
BERT_Finetuned"
LogisticRegression,pipeline_3,BERT_CLS_Frozen,0.8128,0.816855753646678,0.8064,0.811594202898551,0.0085155963897705,3.4062385559082E-06,BERT,BERT_CLS_Frozen,"BERT_CLS_Frozen
LogisticRegression"
SVM,pipeline_3,BERT_CLS_Frozen,0.8148,0.817594834543987,0.8104,0.813981518682202,0.0065150260925292,2.60601043701172E-06,BERT,BERT_CLS_Frozen,"BERT_CLS_Frozen
SVM"
LogisticRegression,pipeline_3,BERT_Mean_Frozen,0.8468,0.845969672785315,0.848,0.846983619656412,0.0075058937072753,3.00235748291016E-06,BERT,BERT_Mean_Frozen,"BERT_Mean_Frozen
LogisticRegression"
SVM,pipeline_3,BERT_Mean_Frozen,0.8404,0.837966640190628,0.844,0.840972499003587,0.0060043334960937,2.4017333984375E-06,BERT,BERT_Mean_Frozen,"BERT_Mean_Frozen
SVM"
BERT_Finetuned,pipeline_3,BERT_Finetuned,0.9156,0.905542544886807,0.928,0.916633741604109,27.8025252819061,0.0111210101127624,BERT,BERT_FineTuned,"BERT_FineTuned
BERT_Finetuned"
LogisticRegression,pipeline_0,BERT_CLS_Frozen,0.8484,0.851493139628733,0.844,0.847730012053033,0.0162825584411621,6.51302337646484E-06,BERT,BERT_CLS_Frozen,"BERT_CLS_Frozen
LogisticRegression"
SVM,pipeline_0,BERT_CLS_Frozen,0.8464,0.851461038961039,0.8392,0.845286059629331,0.0152263641357421,6.09054565429688E-06,BERT,BERT_CLS_Frozen,"BERT_CLS_Frozen
SVM"
LogisticRegression,pipeline_0,BERT_Mean_Frozen,0.86,0.86115569823435,0.8584,0.859775641025641,0.012979507446289,5.19180297851563E-06,BERT,BERT_Mean_Frozen,"BERT_Mean_Frozen
LogisticRegression"
SVM,pipeline_0,BERT_Mean_Frozen,0.8632,0.864365971107544,0.8616,0.862980769230769,0.0133333206176757,5.33332824707031E-06,BERT,BERT_Mean_Frozen,"BERT_Mean_Frozen
SVM"
BERT_Finetuned,pipeline_0,BERT_Finetuned,0.924,0.912130637636081,0.9384,0.925078864353312,25.3854966163635,0.0101541986465454,BERT,BERT_FineTuned,"BERT_FineTuned
BERT_Finetuned"
